year,trade_deficit
2010,119.96106999999995
2011,183.36353000000003
2012,190.34575
2013,135.80437999999998
2014,137.70560999999998
2015,150.26323000000002
2016,108.51501999999999
2017,162.06617000000006
2018,184.01268999999996





